"","Sourced","Placed","References","Value","Footprint","Quantity","Link"
46,"","","J1","IBC_CONN0","SolderWire-0.5sqmm_1x02_P4.8mm_D0.9mm_OD2.3mm",1,https://makerselectronics.com/product/30-awg-wrapping-wire-0-25mm/
47,"","","J2","LIPO_CONN_x2","SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm",1,https://lampatronics.com/product/battery-polymer-3-7v-1000mah-li-ion-single-cell-50x34x5mm-503450
48,"","","J3","USB_B_Mini","USB_Mini-B_Wuerth_65100516121_Horizontal",1,https://makerselectronics.com/product/smd-mini-usb-connector-solder-female-5-pin/
49,"","","J4","CONN_DISPLAY_I2C","SolderWire-0.1sqmm_1x04_P3.6mm_D0.4mm_OD1mm",1,https://lampatronics.com/product/oled-lcd-led-display-module-white-128x64-096-inch
50,"","","J5","FTDI_CONNx6","PinHeader_1x06_P2.54mm_Vertical",1,https://makerselectronics.com/product/pin-headers-male-2-54mm-40-pin-straight-black-11mm/
51,"","","J6","CONN_VIBRATION","SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm",1,https://free-electronic.com/product/mini-vibration-motor/
52,"","","J7","IBC_CONN1","SolderWire-0.5sqmm_1x02_P4.8mm_D0.9mm_OD2.3mm",1,https://makerselectronics.com/product/30-awg-wrapping-wire-0-25mm/
53,"","","J8","MCU_LED_CONN0B","SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm",1,https://makerselectronics.com/product/30-awg-wrapping-wire-0-25mm/
54,"","","J9","MCU_LED_CONN1B","SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm",1,https://makerselectronics.com/product/30-awg-wrapping-wire-0-25mm/
55,"","","J10","MCU_LED_CONN1T","SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm",1,https://makerselectronics.com/product/30-awg-wrapping-wire-0-25mm/
56,"","","J11","MCU_LED_CONN0T","SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm",1,https://makerselectronics.com/product/30-awg-wrapping-wire-0-25mm/
